            0	            0
      1.73996	            0
      3.21224	            0
       4.9522	            0
      6.69216	            0
      8.43212	            0
      10.0382	            0
      11.6444	            0
      13.3843	            0
      14.9904	            0
      16.7304	            0
      18.4704	            0
      20.2103	            0
      21.8164	   0.00333333
      23.5564	         0.15
      25.2964	     0.406667
      26.9025	     0.686667
      28.5086	     0.886667
      30.2486	     0.956667
      31.8547	         0.98
      33.5946	     0.986667
      35.0669	     0.993333
      36.8069	     0.993333
      38.2792	     0.996667
      40.0191	     0.996667
      41.6252	     0.996667
      43.3652	     0.993333
      45.1052	     0.996667
      46.4436	     0.996667
      48.1836	     0.996667
      49.9235	            1
      51.5296	            1
      53.0019	     0.996667
      54.8757	            1
      56.6157	            1
       58.088	            1
      59.8279	            1
      61.5679	            1
